                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0008,                0.75924,                 1.1061,                0.90668,                0.93226,                0.94437,                 0.6821,                0.99105,                0.66635,                 1.1119,               0.000948,               0.000948,               0.000948
                     36,                  1.032,                0.75731,                 1.1035,                0.90538,                0.95327,                0.95801,                0.69603,                 1.0082,                0.66194,                 1.1172,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0358,                0.77991,                 1.1141,                0.92238,                0.92704,                0.96487,                0.71046,                0.96688,                0.65449,                 1.1075,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0056,                0.76188,                 1.1007,                0.90809,                0.91207,                0.96525,                0.70046,                0.97183,                0.64404,                 1.1257,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0019,                0.75289,                 1.0954,                0.91565,                0.93093,                0.96726,                0.71385,                0.96645,                0.62842,                 1.0917,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0045,                0.74794,                 1.1013,                0.93921,                0.91289,                0.97103,                 0.7064,                0.96479,                 0.6577,                 1.1064,             0.00087726,             0.00087726,             0.00087726
                     41,                0.98916,                0.74524,                 1.0894,                0.91552,                0.94392,                0.96498,                0.69598,                0.95807,                0.64824,                 1.1035,             0.00086312,             0.00086312,             0.00086312
                     42,                0.99192,                0.73379,                 1.0883,                0.89109,                0.91255,                 0.9463,                0.67044,                 1.0033,                0.70152,                 1.0937,             0.00084897,             0.00084897,             0.00084897
                     43,                0.97482,                0.72805,                 1.0918,                0.93008,                0.90276,                0.95718,                0.68895,                0.99585,                0.65468,                 1.1208,             0.00083482,             0.00083482,             0.00083482
                     44,                0.98622,                0.70378,                 1.0914,                0.94752,                0.91104,                0.96458,                0.71087,                0.98469,                0.65875,                 1.1229,             0.00082067,             0.00082067,             0.00082067
                     45,                0.98364,                0.68257,                 1.0904,                0.93112,                0.92418,                0.96306,                0.71039,                0.98219,                0.61239,                 1.1304,             0.00080653,             0.00080653,             0.00080653
                     46,                0.99613,                0.71425,                 1.0948,                0.90562,                0.92915,                0.95604,                0.67008,                 1.0132,                0.63217,                 1.1438,             0.00079238,             0.00079238,             0.00079238
                     47,                0.97867,                0.71374,                 1.0957,                0.89692,                0.93253,                0.95017,                0.67798,                 1.0135,                0.64712,                 1.1496,             0.00077823,             0.00077823,             0.00077823
                     48,                0.93235,                0.68472,                 1.0679,                0.91117,                0.94217,                0.96644,                0.71018,                0.96835,                0.60337,                  1.121,             0.00076409,             0.00076409,             0.00076409
                     49,                0.95919,                0.69089,                 1.0923,                0.86739,                0.94917,                0.96192,                0.70331,                 0.9895,                0.60759,                 1.1396,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.9463,                0.66858,                 1.0728,                0.88896,                0.95794,                0.95414,                0.70446,                0.98028,                 0.6037,                 1.1024,             0.00073579,             0.00073579,             0.00073579
                     51,                0.95386,                0.67209,                 1.0789,                 0.9423,                0.92758,                0.96501,                0.68606,                0.99724,                 0.6009,                 1.1142,             0.00072164,             0.00072164,             0.00072164
                     52,                0.94982,                0.65584,                 1.0673,                0.95932,                0.93277,                0.96548,                0.70147,                0.98169,                0.61317,                 1.1142,              0.0007075,              0.0007075,              0.0007075
                     53,                0.92634,                0.65334,                 1.0541,                0.90353,                0.94545,                0.96562,                0.70667,                0.93805,                0.58899,                 1.1011,             0.00069335,             0.00069335,             0.00069335
                     54,                0.91602,                0.66561,                 1.0643,                0.94881,                0.91959,                0.96755,                0.70629,                0.95624,                0.57036,                 1.1087,              0.0006792,              0.0006792,              0.0006792
                     55,                0.92012,                0.65318,                 1.0672,                0.93379,                0.92732,                0.96717,                0.71243,                0.93636,                 0.5669,                 1.0928,             0.00066506,             0.00066506,             0.00066506
                     56,                0.90543,                0.64235,                 1.0558,                0.92012,                0.94449,                0.96871,                0.71056,                0.93204,                0.59182,                 1.1029,             0.00065091,             0.00065091,             0.00065091
                     57,                0.92473,                0.65527,                 1.0538,                0.92525,                0.94039,                 0.9691,                0.69502,                 1.0015,                0.60302,                 1.1257,             0.00063676,             0.00063676,             0.00063676
                     58,                0.97019,                0.66449,                 1.0996,                 0.9359,                0.92092,                0.96368,                0.70095,                0.94513,                0.59569,                 1.0958,             0.00062262,             0.00062262,             0.00062262
                     59,                0.91356,                0.63749,                 1.0485,                0.94792,                0.92092,                0.96562,                0.73052,                 0.8919,                0.56445,                 1.0806,             0.00060847,             0.00060847,             0.00060847
                     60,                0.91014,                0.62883,                 1.0389,                0.93716,                 0.9319,                0.96566,                  0.722,                0.91502,                0.57264,                 1.1043,             0.00059432,             0.00059432,             0.00059432
                     61,                0.95613,                0.64129,                 1.0712,                 0.8928,                0.96239,                0.95542,                0.70034,                0.95657,                0.61752,                 1.1022,             0.00058017,             0.00058017,             0.00058017
                     62,                  0.898,                0.61838,                 1.0598,                0.88609,                 0.9268,                0.94158,                 0.6918,                0.90123,                0.62119,                 1.0744,             0.00056603,             0.00056603,             0.00056603
                     63,                0.90374,                0.60943,                 1.0491,                0.87974,                0.95797,                 0.9584,                0.68108,                0.94154,                0.61886,                 1.0869,             0.00055188,             0.00055188,             0.00055188
                     64,                0.88962,                0.61212,                 1.0529,                0.88133,                0.94719,                0.95769,                 0.6852,                0.94546,                0.59616,                 1.0947,             0.00053773,             0.00053773,             0.00053773
                     65,                0.89507,                0.61925,                 1.0459,                0.86035,                0.94097,                0.94769,                0.70051,                0.95896,                0.60631,                  1.097,             0.00052359,             0.00052359,             0.00052359
                     66,                0.89297,                0.61998,                  1.058,                0.94463,                0.91438,                0.96483,                0.73476,                0.89518,                0.56494,                 1.0636,             0.00050944,             0.00050944,             0.00050944
                     67,                0.87645,                0.58475,                  1.045,                0.92551,                0.93648,                0.96211,                0.72169,                0.90771,                0.57346,                  1.074,             0.00049529,             0.00049529,             0.00049529
                     68,                0.88893,                0.60918,                 1.0463,                0.89065,                0.95278,                0.96319,                0.72141,                0.93091,                0.56732,                 1.0949,             0.00048114,             0.00048114,             0.00048114
                     69,                0.89249,                0.60915,                 1.0489,                0.92478,                 0.8849,                0.96275,                0.71438,                0.92381,                0.56928,                 1.0955,               0.000467,               0.000467,               0.000467
                     70,                0.87872,                0.58899,                 1.0399,                0.94546,                0.88131,                0.95653,                0.72476,                0.89611,                0.56996,                 1.0707,             0.00045285,             0.00045285,             0.00045285
                     71,                0.88598,                0.62285,                 1.0484,                0.92309,                0.93399,                0.95788,                0.72183,                0.91102,                0.57515,                 1.0889,              0.0004387,              0.0004387,              0.0004387
                     72,                0.85242,                 0.5797,                 1.0274,                0.95418,                 0.9122,                0.95769,                0.71451,                0.93641,                0.60766,                 1.0996,             0.00042456,             0.00042456,             0.00042456
                     73,                0.87337,                0.58112,                 1.0401,                0.92088,                0.90352,                0.95658,                0.71888,                0.91474,                0.59023,                 1.0918,             0.00041041,             0.00041041,             0.00041041
                     74,                0.84764,                0.56824,                 1.0152,                0.86412,                0.95379,                0.94522,                0.70104,                0.93536,                0.59219,                 1.0904,             0.00039626,             0.00039626,             0.00039626
                     75,                0.85037,                0.56325,                 1.0297,                0.87521,                0.95083,                0.95864,                0.72858,                0.89304,                0.56395,                  1.074,             0.00038211,             0.00038211,             0.00038211
                     76,                0.85718,                0.58776,                 1.0405,                0.87515,                0.94179,                0.94938,                0.72148,                 0.8859,                0.58806,                 1.0707,             0.00036797,             0.00036797,             0.00036797
                     77,                0.83035,                 0.5759,                 1.0202,                0.90283,                0.92745,                0.95601,                0.73148,                0.87546,                0.57606,                 1.0671,             0.00035382,             0.00035382,             0.00035382
                     78,                0.86815,                0.58161,                 1.0433,                0.93021,                0.89791,                0.96037,                0.73125,                0.89286,                 0.5749,                 1.0792,             0.00033967,             0.00033967,             0.00033967
